WPID;Beschreibung;Koordinaten;Hoehe;Img_FotoGross;Kategorie;Website
PETERSBERG_START;Petersberg Startplatz (W, SW-WSW);N50° 05' 40.61" E007° 08' 30.46";260;;HGPGSTA;http://www.thermik4u.de
PETERSBERG_LANDUNG;Petersberg Landeplatz;N50° 05' 46.00" E007° 08' 09.78";90;;HGPGLAN;http://www.thermik4u.de
HEPPENHEIM_UL;Heppenheim UL-Schlepp;N49° 37' 15.08" E008° 36' 47.12";95;;UL;
BUERSTADT_UL;Bürstadt UL-Schlepp;N49° 39' 20.8" E008° 28' 28.4";88;Buerstadt_UL.jpg;UL;http://www.igulb.de
GANGELSBERG_START;Gangelsberg Startplatz (O);N49° 47' 32.80" E007° 44' 26.07";300;;HGPGSTA;http://www.pfaelzergleitschirmclub.info
GANGELSBERG_LAND;Gangelsberg Landeplatz;N49° 47' 33.25" E007° 44' 39.13";130;;HGPGLAN;http://www.pfaelzergleitschirmclub.info
DUCHROTH_START;Duchroth Startplatz (N);N49° 46' 33.99" E007° 43' 21.11";209;;HGPGSTA;http://www.pfaelzergleitschirmclub.info
DUCHROTH_LAND;Duchroth Landeplatz;N49° 46' 45.37" E007° 43' 00.41";130;;HGPGLAN;http://www.pfaelzergleitschirmclub.info
UERZIG_ERDEN_LAND;Ürzig-Erden Landeplatz;N49° 58' 45.86" E007° 01' 42.88";105;;HGPGLAN;http://www.moselfalken.de
OFFENBACH_HUNDHEIM_START;Offenbach-Hundheim Start (S);N49° 37' 28.19" E007° 31' 59.43";310;;HGPGSTA;
HALDE_ENSDORF_START;Halde Ensorf Start (S);N49° 19' 2.97" E006° 47' 1.76";310;;HGPGSTA;
HALDE_ENSDORF_LAND;Halde Ensdorf Landeplatz;N49° 18' 51.91" E006° 47' 12.07";195;;HGPGLAN;
OCKFEN_LAND;Ockfen Landeplatz;N49° 37' 4.13" E006° 35' 48.32";195;OckfenLand01.jpg;HGPGLAN;http://www.dfc-saar.de
URPHAR_START_NO;Urphar Startplatz (NO);N49° 45' 10.42" E009° 32' 57.59";266;;HGPGSTA;http://www.gleitschirmfreunde-taubertal.de
URPHAR_START_NW;Urphar Startplatz (NW);N49° 44' 36.21" E009° 34' 13.85";270;;HGPGSTA;http://www.gleitschirmfreunde-taubertal.de
URPHAR_LAND_NW;Urphar Landeplatz (NW);N49° 44' 44.11" E009° 34' 06.95";140;;HGPGLAN;http://www.gleitschirmfreunde-taubertal.de
URPHAR_LAND_NO;Urphar Landeplatz (NO);N49° 45' 27.04" E009° 33' 02.68";140;;HGPGLAN;http://www.gleitschirmfreunde-taubertal.de
MOSBACH_LAND;Mosbach (Finkenhof) Landeplatz;N49° 19' 44.79" E009° 6' 18.00";140;;HGPGLAN;
SCHODEN_START;Schoden Startplatz (S-W);N49° 38' 24.03" E006° 35' 37.01";260;;HGPGSTA;http://www.moselfalken.de
MONTABAUR_SEGELFLUG;Montebaur Segelflugplatz;N50° 25' 15.86" E007° 49' 27.64";275;;SFP;
MEHRING_LAND;Mehring Landeplatz;N49° 47' 31.30" E006° 50' 22.68";124;;HGPGLAN;http://www.dfc-trier.com
LAUTERBACH_UL;Lauterbach UL-Schlepp;N50° 41' 0.07" E009° 24' 36.94";360;;UL;
HALDE_NORDDEUTSCHLAND_SCHLEPP_GARTENSTR;Halde Norddeutschland Schlepp;N51° 27' 31.65" E006° 33' 46.55";27;;HGPGSTA;http://www.gleitzeit-ev.de/
HALDE_NORDDEUTSCHLAND_START;Halde Norddeutschland Start (S-SW);N51° 28' 8.86" E006° 33' 57.61";92;Halde_Norddeutschland.jpg;HGPGSTA;http://www.fliegerfreunde-niederrhein.de
DONNERSBERG_MOLTKEFELSEN_START;Donnersberg Moltkefelsen (SO);N49° 37' 14.00" E007° 56' 29.00";540;;HGPGSTA;http://www.pdgfc.de
HOLZHEIM_SCHLEPP;Vockrather Acker (Holzheim) Schlepp (SW/NO);N51° 8' 36.06" E006° 37' 46.10";65;vockrather_acker.jpg;HGPGSTA;http://www.skyteam-neuss.de
KOENIGSTUHL_LAND;Königstuhl Landeplatz;N49° 25' 13.88" E008° 44' 17.16";140;;HGPGLAN;http://www.kurpfaelzer-gleitschirmflieger.de
ROSENBERG_START;Rosenberg Startplatz (SW-SO);N50° 19' 04.0" E007° 27' 41.0";240;;HGPGSTA;http://www.thermik4u.de
DONNERSBERG_MOLTKEFELSEN_LAND;Donnersberg Moltkefelsen Landeplatz;N49° 37' 12.44" E007° 57' 03.76";360;;HGPGLAN;http://www.pdgfc.de
HALDE_NORDDEUTSCHLAND_LAND;Halde Norddeutschland Landeplatz;N51° 27' 59.67" E006° 33' 47.41";26;;HGPGLAN;http://www.fliegerfreunde-niederrhein.de
ROSENBERG_LAND;Rosenberg Landeplatz;N50° 18' 43.0" E007° 27' 44.0";70;;HGPGLAN;http://www.thermik4u.de
HOCHSTETTEN_START;Hochstetten-Dhaun/Strüther Wald (NNW-N-NNO);N49° 47' 34.12" E007° 30' 44.00";280;;HGPGSTA;http://www.gleitschirmverein-nahe-glan.de
HOCHSTETTEN_LAND;Hochstetten-Dhaun/Strüther Wald Landeplatz;N49° 47' 41.26" E007° 30' 38.47";175;;HGPGLAN;http://www.gleitschirmverein-nahe-glan.de
GRINGLAY_START;Gringlay Startplatz (SW);N49° 54' 56.08" E006° 05' 29.39";426;;HGPGSTA;http://www.cumulux.lu
GRINGLAY_LAND;Gringlay Landeplatz;N49° 54' 30.79" E006° 05' 07.53";230;;HGPGLAN;http://www.cumulux.lu
SAARBURG_START;Saarburg-Kreuzberg Start (SO);N49° 37' 14.17" E006° 33' 24.82";300;;HGPGSTA;
PFEFFELBACH_START;Pfeffelbach Start (SO);N49° 32' 58.2" E007° 18' 29.6";586;PfeffStart01.jpg;HGPGSTA;http://www.dfc-saar.de
PFEFFELBACH_LAND;Pfeffelbach Landeplatz;N49° 32' 37.3" E007° 19' 14.1";339;PfeffLand01.jpg;HGPGLAN;http://www.dfc-saar.de
SERRIG_START;Serrig Start (SW-W);N49° 34' 8.16" E006° 36' 55.74";356;SerrigStart01.jpg;HGPGSTA;http://www.dfc-trier.com
